time,Xa,Ya,Za,,,,,,,,
10.86238532,-1.06,0.2,0.04,,,,,-1,-0.04,296,0.03669724771
10.89908257,-0.93,0.16,-0.01,,,,,-1,0.01,297,0.03669724771
10.93577982,-0.95,0.11,0.01,,,,,-1,-0.01,298,0.03669724771
10.97247706,-1.11,0.17,0,,,,,-1,0,299,0.03669724771
11.00917431,-1.03,0.19,0,,,,,-1,0,300,0.03669724771
11.04587156,-1.15,0.16,0,,,,,-1,0,301,0.03669724771
11.08256881,-1.07,0.2,0,,,,,-1,0,302,0.03669724771
11.11926606,-1.31,0.22,0.02,,,,,-1,-0.02,303,0.03669724771
11.1559633,-0.93,0.08,-0.02,,,,,-1,0.02,304,0.03669724771
11.19266055,-0.94,0.19,-0.02,,,,,-1,0.02,305,0.03669724771
11.2293578,-1.1,0.16,0.01,,,,,-1,-0.01,306,0.03669724771
11.26605505,-0.99,0.24,0.02,,,,,-1,-0.02,307,0.03669724771
11.30275229,-1.13,0.23,0.01,,,,,-1,-0.01,308,0.03669724771
11.33944954,-0.87,0.17,0,,,,,-1,0,309,0.03669724771
11.37614679,-1.3,0.23,0.01,,,,,-1,-0.01,310,0.03669724771
11.41284404,-0.86,0.2,0,,,,,-1,0,311,0.03669724771
11.44954128,-1.07,0.14,-0.01,,,,,-1,0.01,312,0.03669724771
11.48623853,-0.98,0.21,0.02,,,,,-1,-0.02,313,0.03669724771
11.52293578,-1.16,0.21,0.02,,,,,-1,-0.02,314,0.03669724771
11.55963303,-0.92,0.23,0.02,,,,,-1,-0.02,315,0.03669724771
11.59633028,-1.18,0.23,0,,,,,-1,0,316,0.03669724771
11.63302752,-1,0.15,-0.02,,,,,-1,0.02,317,0.03669724771
11.66972477,-1.04,0.13,-0.01,,,,,-1,0.01,318,0.03669724771
11.70642202,-1.09,0.23,0.02,,,,,-1,-0.02,319,0.03669724771
11.74311927,-1,0.13,0,,,,,-1,0,320,0.03669724771
11.77981651,-1.08,0.17,0.01,,,,,-1,-0.01,321,0.03669724771
11.81651376,-1.04,0.21,0.01,,,,,-1,-0.01,322,0.03669724771
11.85321101,-1.25,0.25,0.01,,,,,-1,-0.01,323,0.03669724771
11.88990826,-1.02,0.19,0,,,,,-1,0,324,0.03669724771
11.9266055,-0.87,0.14,0,,,,,-1,0,325,0.03669724771
11.96330275,-1.04,0.2,0.01,,,,,-1,-0.01,326,0.03669724771
12,-1.2,0.18,-0.01,,,,,-1,0.01,327,0.03669724771
12.03669725,-0.96,0.16,0.02,,,,,-1,-0.02,328,0.03669724771
12.0733945,-1.01,0.14,0.01,,,,,-1,-0.01,329,0.03669724771
12.11009174,-0.99,0.24,0.05,,,,,-1,-0.05,330,0.03669724771
12.14678899,-0.89,0.14,-0.03,,,,,-1,0.03,331,0.03669724771
12.18348624,-1.08,0.19,0,,,,,-1,0,332,0.03669724771
12.22018349,-1.03,0.2,-0.01,,,,,-1,0.01,333,0.03669724771
12.25688073,-1.19,0.2,-0.01,,,,,-1,0.01,334,0.03669724771
12.29357798,-1.05,0.14,0.03,,,,,-1,-0.03,335,0.03669724771
12.33027523,-1,0.21,0.02,,,,,-1,-0.02,336,0.03669724771
12.36697248,-1.05,0.25,0.03,,,,,-1,-0.03,337,0.03669724771
12.40366972,-1,0.25,0.01,,,,,-1,-0.01,338,0.03669724771
12.44036697,-1.16,0.2,0.01,,,,,-1,-0.01,339,0.03669724771
12.47706422,-0.89,0.25,0.03,,,,,-1,-0.03,340,0.03669724771
12.51376147,-1.1,0.2,0,,,,,-1,0,341,0.03669724771
12.55045872,-1.01,0.21,0.01,,,,,-1,-0.01,342,0.03669724771
12.58715596,-1.13,0.22,0.01,,,,,-1,-0.01,343,0.03669724771
12.62385321,-1.01,0.2,0,,,,,-1,0,344,0.03669724771
12.66055046,-1.12,0.13,0,,,,,-1,0,345,0.03669724771
12.69724771,-1.04,0.2,0,,,,,-1,0,346,0.03669724771
12.73394495,-1.12,0.22,0.03,,,,,-1,-0.03,347,0.03669724771
12.7706422,-1.1,0.15,0.01,,,,,-1,-0.01,348,0.03669724771
12.80733945,-0.99,0.18,0.01,,,,,-1,-0.01,349,0.03669724771
12.8440367,-0.94,0.16,0.02,,,,,-1,-0.02,350,0.03669724771
12.88073394,-0.99,0.16,0.02,,,,,-1,-0.02,351,0.03669724771
12.91743119,-1.07,0.19,0.02,,,,,-1,-0.02,352,0.03669724771
12.95412844,-1.01,0.18,0.01,,,,,-1,-0.01,353,0.03669724771
12.99082569,-1.14,0.22,0.01,,,,,-1,-0.01,354,0.03669724771
13.02752294,-1.15,0.18,0.02,,,,,-1,-0.02,355,0.03669724771
13.06422018,-1.1,0.2,0,,,,,-1,0,356,0.03669724771
13.10091743,-1.05,0.17,-0.04,,,,,-1,0.04,357,0.03669724771
