Time,Xa,Ya,Za,,,,,,,,,,,
10.71017274,-0.12,-1.09,-0.2,,,,,,,,,,0.038387716,279
10.74856046,-0.08,-0.96,-0.18,,,,,,,,,,0.038387716,280
10.78694818,-0.09,-1.03,-0.25,,,,,,,,,,0.038387716,281
10.82533589,-0.07,-1.09,-0.19,,,,,,,,,,0.038387716,282
10.86372361,-0.07,-1.07,-0.14,,,,,,,,,,0.038387716,283
10.90211132,-0.04,-1.1,-0.23,,,,,,,,,,0.038387716,284
10.94049904,-0.13,-1.02,-0.18,,,,,,,,,,0.038387716,285
10.97888676,-0.1,-1.09,-0.14,,,,,,,,,,0.038387716,286
11.01727447,-0.11,-1.13,-0.12,,,,,,,,,,0.038387716,287
11.05566219,-0.05,-1.02,-0.19,,,,,,,,,,0.038387716,288
11.0940499,-0.14,-1.05,-0.21,,,,,,,,,,0.038387716,289
11.13243762,-0.05,-0.87,-0.24,,,,,,,,,,0.038387716,290
11.17082534,-0.06,-1.07,-0.23,,,,,,,,,,0.038387716,291
11.20921305,-0.12,-1.02,-0.14,,,,,,,,,,0.038387716,292
11.24760077,-0.07,-1.07,-0.2,,,,,,,,,,0.038387716,293
11.28598848,-0.02,-1.07,-0.11,,,,,,,,,,0.038387716,294
11.3243762,-0.11,-1.05,-0.11,,,,,,,,,,0.038387716,295
11.36276392,-0.13,-0.89,-0.19,,,,,,,,,,0.038387716,296
11.40115163,-0.14,-0.92,-0.28,,,,,,,,,,0.038387716,297
11.43953935,-0.14,-0.98,-0.16,,,,,,,,,,0.038387716,298
11.47792706,-0.09,-1.11,-0.25,,,,,,,,,,0.038387716,299
11.51631478,-0.14,-1.05,-0.23,,,,,,,,,,0.038387716,300
11.5547025,-0.11,-1.11,-0.17,,,,,,,,,,0.038387716,301
11.59309021,-0.1,-0.72,-0.24,,,,,,,,,,0.038387716,302
11.63147793,-0.05,-1.06,-0.16,,,,,,,,,,0.038387716,303
11.66986564,-0.08,-0.6,-0.32,,,,,,,,,,0.038387716,304
11.70825336,-0.12,-1.01,-0.11,,,,,,,,,,0.038387716,305
11.74664107,-0.1,-1.11,-0.12,,,,,,,,,,0.038387716,306
11.78502879,-0.09,-1.05,-0.19,,,,,,,,,,0.038387716,307
11.82341651,-0.1,-0.94,-0.17,,,,,,,,,,0.038387716,308
11.86180422,-0.07,-1.02,-0.14,,,,,,,,,,0.038387716,309
11.90019194,-0.06,-0.96,-0.16,,,,,,,,,,0.038387716,310
11.93857965,-0.07,-1.02,-0.23,,,,,,,,,,0.038387716,311
11.97696737,-0.14,-1.02,-0.16,,,,,,,,,,0.038387716,312
12.01535509,-0.14,-1.22,-0.13,,,,,,,,,,0.038387716,313
12.0537428,-0.06,-0.99,-0.22,,,,,,,,,,0.038387716,314
12.09213052,-0.12,-1.13,-0.11,,,,,,,,,,0.038387716,315
12.13051823,-0.04,-1.06,-0.12,,,,,,,,,,0.038387716,316
12.16890595,-0.01,-1.05,-0.2,,,,,,,,,,0.038387716,317
12.20729367,-0.05,-1.11,-0.18,,,,,,,,,,0.038387716,318
12.24568138,-0.08,-1.06,-0.11,,,,,,,,,,0.038387716,319
12.2840691,-0.01,-0.82,-0.2,,,,,,,,,,0.038387716,320
12.32245681,-0.1,-0.93,-0.12,,,,,,,,,,0.038387716,321
12.36084453,-0.13,-1.09,-0.12,,,,,,,,,,0.038387716,322
12.39923225,-0.06,-1.04,-0.18,,,,,,,,,,0.038387716,323
12.43761996,-0.07,-0.86,-0.18,,,,,,,,,,0.038387716,324
12.47600768,-0.19,-0.83,-0.16,,,,,,,,,,0.038387716,325
12.51439539,-0.16,-1.02,-0.2,,,,,,,,,,0.038387716,326
12.55278311,-0.15,-1.01,-0.15,,,,,,,,,,0.038387716,327
12.59117083,-0.15,-0.93,-0.21,,,,,,,,,,0.038387716,328
12.62955854,-0.09,-1.11,-0.16,,,,,,,,,,0.038387716,329
12.66794626,-0.07,-0.94,-0.16,,,,,,,,,,0.038387716,330
12.70633397,-0.07,-0.94,-0.25,,,,,,,,,,0.038387716,331
12.74472169,-0.07,-1,-0.16,,,,,,,,,,0.038387716,332
12.7831094,-0.12,-0.88,-0.29,,,,,,,,,,0.038387716,333
12.82149712,-0.07,-0.78,-0.3,,,,,,,,,,0.038387716,334
12.85988484,-0.13,-1.16,-0.12,,,,,,,,,,0.038387716,335
12.89827255,-0.11,-0.93,-0.14,,,,,,,,,,0.038387716,336
12.93666027,-0.07,-0.99,-0.26,,,,,,,,,,0.038387716,337
12.97504798,-0.1,-1,-0.21,,,,,,,,,,0.038387716,338
13.0134357,-0.07,-1.04,-0.16,,,,,,,,,,0.038387716,339
13.05182342,-0.11,-0.96,-0.21,,,,,,,,,,0.038387716,340
13.09021113,-0.14,-0.82,-0.29,,,,,,,,,,0.038387716,341
13.12859885,-0.06,-0.82,-0.16,,,,,,,,,,0.038387716,342
13.16698656,-0.16,-0.96,-0.2,,,,,,,,,,0.038387716,343
13.20537428,-0.12,-0.85,-0.21,,,,,,,,,,0.038387716,344
13.243762,-0.11,-1.14,-0.11,,,,,,,,,,0.038387716,345
13.28214971,-0.08,-0.89,-0.24,,,,,,,,,,0.038387716,346
13.32053743,-0.07,-1.1,-0.14,,,,,,,,,,0.038387716,347
13.35892514,-0.01,-0.89,-0.28,,,,,,,,,,0.038387716,348
13.39731286,-0.13,-1.09,-0.15,,,,,,,,,,0.038387716,349
13.43570058,-0.07,-1,-0.17,,,,,,,,,,0.038387716,350
13.47408829,-0.09,-1.01,-0.23,,,,,,,,,,0.038387716,351
13.51247601,-0.06,-1.11,-0.21,,,,,,,,,,0.038387716,352
13.55086372,-0.05,-0.84,-0.26,,,,,,,,,,0.038387716,353
13.58925144,-0.12,-1.02,-0.21,,,,,,,,,,0.038387716,354
13.62763916,-0.06,-1.07,-0.16,,,,,,,,,,0.038387716,355
13.66602687,-0.09,-0.9,-0.23,,,,,,,,,,0.038387716,356
13.70441459,-0.12,-1,-0.17,,,,,,,,,,0.038387716,357
13.7428023,0,-0.88,-0.29,,,,,,,,,,0.038387716,358
13.78119002,-0.11,-1.07,-0.23,,,,,,,,,,0.038387716,359
13.81957774,-0.16,-0.9,-0.19,,,,,,,,,,0.038387716,360
13.85796545,-0.09,-1.05,-0.21,,,,,,,,,,0.038387716,361
13.89635317,-0.08,-1.07,-0.14,,,,,,,,,,0.038387716,362
13.93474088,-0.07,-1.11,-0.14,,,,,,,,,,0.038387716,363
13.9731286,-0.11,-0.9,-0.21,,,,,,,,,,0.038387716,364
14.01151631,-0.09,-1,-0.24,,,,,,,,,,0.038387716,365
