,time,Xa,Ya,Za,,,,,,,
,12.3880597,-1.01,0.3,0.04,,,,-1,-0.04,332,0.03731343284
,12.42537313,-0.94,0.27,0.04,,,,-1,-0.04,333,0.03731343284
,12.46268657,-0.96,0.41,0.1,,,,-1,-0.1,334,0.03731343284
,12.5,-1.02,0.31,0.05,,,,-1,-0.05,335,0.03731343284
,12.53731343,-1.06,0.34,0.05,,,,-1,-0.05,336,0.03731343284
,12.57462687,-1.09,0.27,0.02,,,,-1,-0.02,337,0.03731343284
,12.6119403,-1.03,0.31,0.04,,,,-1,-0.04,338,0.03731343284
,12.64925373,-1.14,0.36,0.05,,,,-1,-0.05,339,0.03731343284
,12.68656716,-1.04,0.33,0.04,,,,-1,-0.04,340,0.03731343284
,12.7238806,-1.02,0.24,0.02,,,,-1,-0.02,341,0.03731343284
,12.76119403,-1,0.34,0.05,,,,-1,-0.05,342,0.03731343284
,12.79850746,-1.12,0.34,0.05,,,,-1,-0.05,343,0.03731343284
,12.8358209,-1,0.35,0.06,,,,-1,-0.06,344,0.03731343284
,12.87313433,-1.06,0.32,0.05,,,,-1,-0.05,345,0.03731343284
,12.91044776,-1.03,0.33,0.04,,,,-1,-0.04,346,0.03731343284
,12.94776119,-1.05,0.3,0.05,,,,-1,-0.05,347,0.03731343284
,12.98507463,-1.16,0.28,0.02,,,,-1,-0.02,348,0.03731343284
